grid,skyvector_url,lsalt_100ft
"[[148.5,-38.0],[149.0,-38.0],[149.0,-37.5],[148.5,-37.5],[148.5,-38.0]]",https://skyvector.com/?fpl=3800S14830E%203800S14900E%203730S14900E%203730S14830E%203800S14830E,40
"[[148.5,-37.5],[149.0,-37.5],[149.0,-37.0],[148.5,-37.0],[148.5,-37.5]]",https://skyvector.com/?fpl=3730S14830E%203730S14900E%203700S14900E%203700S14830E%203730S14830E,56
"[[147.0,-38.0],[147.5,-38.0],[147.5,-37.5],[147.0,-37.5],[147.0,-38.0]]",https://skyvector.com/?fpl=3800S14700E%203800S14730E%203730S14730E%203730S14700E%203800S14700E,57
"[[147.0,-37.5],[147.5,-37.5],[147.5,-37.0],[147.0,-37.0],[147.0,-37.5]]",https://skyvector.com/?fpl=3730S14700E%203730S14730E%203700S14730E%203700S14700E%203730S14700E,66
"[[147.5,-38.0],[148.0,-38.0],[148.0,-37.5],[147.5,-37.5],[147.5,-38.0]]",https://skyvector.com/?fpl=3800S14730E%203800S14800E%203730S14800E%203730S14730E%203800S14730E,39
"[[147.5,-37.5],[148.0,-37.5],[148.0,-37.0],[147.5,-37.0],[147.5,-37.5]]",https://skyvector.com/?fpl=3730S14730E%203730S14800E%203700S14800E%203700S14730E%203730S14730E,62
"[[146.0,-38.0],[146.5,-38.0],[146.5,-37.5],[146.0,-37.5],[146.0,-38.0]]",https://skyvector.com/?fpl=3800S14600E%203800S14630E%203730S14630E%203730S14600E%203800S14600E,61
"[[146.0,-37.5],[146.5,-37.5],[146.5,-37.0],[146.0,-37.0],[146.0,-37.5]]",https://skyvector.com/?fpl=3730S14600E%203730S14630E%203700S14630E%203700S14600E%203730S14600E,68
"[[146.5,-38.0],[147.0,-38.0],[147.0,-37.5],[146.5,-37.5],[146.5,-38.0]]",https://skyvector.com/?fpl=3800S14630E%203800S14700E%203730S14700E%203730S14630E%203800S14630E,64
"[[146.5,-37.5],[147.0,-37.5],[147.0,-37.0],[146.5,-37.0],[146.5,-37.5]]",https://skyvector.com/?fpl=3730S14630E%203730S14700E%203700S14700E%203700S14630E%203730S14630E,67
"[[145.0,-38.0],[145.5,-38.0],[145.5,-37.5],[145.0,-37.5],[145.0,-38.0]]",https://skyvector.com/?fpl=3800S14500E%203800S14530E%203730S14530E%203730S14500E%203800S14500E,37
