grid,skyvector_url,lsalt_100ft
"[[147.5,-42.5],[148.0,-42.5],[148.0,-42.0],[147.5,-42.0],[147.5,-42.5]]",https://skyvector.com/?fpl=4230S14730E%204230S14800E%204200S14800E%204200S14730E%204230S14730E,37
"[[146.0,-43.0],[146.5,-43.0],[146.5,-42.5],[146.0,-42.5],[146.0,-43.0]]",https://skyvector.com/?fpl=4300S14600E%204300S14630E%204230S14630E%204230S14600E%204300S14600E,55
"[[146.0,-42.5],[146.5,-42.5],[146.5,-42.0],[146.0,-42.0],[146.0,-42.5]]",https://skyvector.com/?fpl=4230S14600E%204230S14630E%204200S14630E%204200S14600E%204230S14600E,58
"[[146.5,-43.0],[147.0,-43.0],[147.0,-42.5],[146.5,-42.5],[146.5,-43.0]]",https://skyvector.com/?fpl=4300S14630E%204300S14700E%204230S14700E%204230S14630E%204300S14630E,56
"[[146.5,-42.5],[147.0,-42.5],[147.0,-42.0],[146.5,-42.0],[146.5,-42.5]]",https://skyvector.com/?fpl=4230S14630E%204230S14700E%204200S14700E%204200S14630E%204230S14630E,49
"[[145.0,-43.0],[145.5,-43.0],[145.5,-42.5],[145.0,-42.5],[145.0,-43.0]]",https://skyvector.com/?fpl=4300S14500E%204300S14530E%204230S14530E%204230S14500E%204300S14500E,18
"[[145.0,-42.5],[145.5,-42.5],[145.5,-42.0],[145.0,-42.0],[145.0,-42.5]]",https://skyvector.com/?fpl=4230S14500E%204230S14530E%204200S14530E%204200S14500E%204230S14500E,24
"[[145.5,-43.0],[146.0,-43.0],[146.0,-42.5],[145.5,-42.5],[145.5,-43.0]]",https://skyvector.com/?fpl=4300S14530E%204300S14600E%204230S14600E%204230S14530E%204300S14530E,44
"[[145.5,-42.5],[146.0,-42.5],[146.0,-42.0],[145.5,-42.0],[145.5,-42.5]]",https://skyvector.com/?fpl=4230S14530E%204230S14600E%204200S14600E%204200S14530E%204230S14530E,56
"[[147.0,-44.0],[147.5,-44.0],[147.5,-43.5],[147.0,-43.5],[147.0,-44.0]]",https://skyvector.com/?fpl=4400S14700E%204400S14730E%204330S14730E%204330S14700E%204400S14700E,19
"[[147.0,-43.5],[147.5,-43.5],[147.5,-43.0],[147.0,-43.0],[147.0,-43.5]]",https://skyvector.com/?fpl=4330S14700E%204330S14730E%204300S14730E%204300S14700E%204330S14700E,37
"[[147.5,-43.5],[148.0,-43.5],[148.0,-43.0],[147.5,-43.0],[147.5,-43.5]]",https://skyvector.com/?fpl=4330S14730E%204330S14800E%204300S14800E%204300S14730E%204330S14730E,29
